SPEAKER_SPEAKER_01 [00:00:00 - 00:00:02]  감사합니다. 오피스텔스 관악입니다.
SPEAKER_SPEAKER_01 [00:00:02 - 00:00:04]  네, 안녕하세요. 아르넷입니다.
SPEAKER_SPEAKER_01 [00:00:04 - 00:00:05]  네.
SPEAKER_SPEAKER_01 [00:00:05 - 00:00:08]  전화 승인 거래 등록하신 건 있잖아요.
SPEAKER_SPEAKER_01 [00:00:08 - 00:00:19]  3월 17일자가 거래 날짜인데 요게 지금 카드사로 매입 처리가 들어갔을 때 거래가 존재하지 않다라고 반송이 됐어요.
SPEAKER_SPEAKER_01 [00:00:19 - 00:00:21]  거래가 존재하지 않다고요?
SPEAKER_SPEAKER_01 [00:00:21 - 00:00:23]  예, 그래서 이거 특송 카드예요 혹시?
SPEAKER_SPEAKER_01 [00:00:23 - 00:00:25]  국민카드요.
SPEAKER_SPEAKER_01 [00:00:25 - 00:00:26]  국민, 금액은요?
SPEAKER_SPEAKER_01 [00:00:26 - 00:00:28]  네, 12만원입니다.
SPEAKER_SPEAKER_01 [00:00:28 - 00:00:29]  12만원?
SPEAKER_SPEAKER_01 [00:00:29 - 00:00:30]  네.
SPEAKER_SPEAKER_01 [00:00:30 - 00:00:31]  카드가 존재하지 않다고요?
SPEAKER_SPEAKER_01 [00:00:31 - 00:00:38]  네, 그러니까 지금 카드사는 그런 메시지로 반송을 했는데 어떤 거 정보가 잘못된 건지 그거 좀 찾아봐야 될 것 같아가지고요.
SPEAKER_SPEAKER_01 [00:00:38 - 00:00:42]  아, 그럼 저희가 어떻게 해야 돼요 이거를?
SPEAKER_SPEAKER_01 [00:00:42 - 00:00:45]  그 승인 당시 거래 정보 가지고 계시면.
SPEAKER_SPEAKER_01 [00:00:45 - 00:00:46]  네.
SPEAKER_SPEAKER_01 [00:00:46 - 00:00:53]  아, 카드번호는 제가 신표 처리돼서 안 보이고 승인 번호랑, 아, 승인 번호랑 날짜 한 번만 다시 확인 좀 해주세요.
SPEAKER_SPEAKER_01 [00:00:53 - 00:00:55]  승인 번호하고 날짜요?
SPEAKER_SPEAKER_01 [00:00:55 - 00:00:55]  네.
SPEAKER_SPEAKER_01 [00:00:55 - 00:00:58]  어, 그러면 확인하고 지금 이 번호로 연락드릴게요.
SPEAKER_SPEAKER_01 [00:00:58 - 00:01:00]  혹시 카드번호도 알고 계시죠?
SPEAKER_SPEAKER_01 [00:01:00 - 00:01:01]  어, 카드번호는 잠깐만요.
SPEAKER_SPEAKER_01 [00:01:01 - 00:01:02]  네.
SPEAKER_SPEAKER_01 [00:01:02 - 00:01:07]  카드번호. 카드번호하고 승인번호 있어요. 잠깐만요.
SPEAKER_SPEAKER_01 [00:01:07 - 00:01:07]  네.
SPEAKER_SPEAKER_01 [00:01:07 - 00:01:08]  네.
SPEAKER_SPEAKER_01 [00:01:08 - 00:01:13]  네.
SPEAKER_SPEAKER_00 [00:01:13 - 00:01:18]  네.
SPEAKER_SPEAKER_00 [00:01:18 - 00:01:24]  네.
SPEAKER_SPEAKER_00 [00:01:24 - 00:01:25]  네.
SPEAKER_SPEAKER_01 [00:01:25 - 00:01:26]  네.
SPEAKER_SPEAKER_00 [00:01:26 - 00:01:27]  네.
SPEAKER_SPEAKER_00 [00:01:27 - 00:01:28]  네.
SPEAKER_SPEAKER_01 [00:01:28 - 00:01:41]  카드 번호가요. 5585-2698-9325-7325-73201.
SPEAKER_SPEAKER_01 [00:01:41 - 00:01:54]  그리고 승인번호가 308-57397.
SPEAKER_SPEAKER_01 [00:01:55 - 00:01:58]  번호는 맞거든요.
SPEAKER_SPEAKER_01 [00:01:58 - 00:02:00]  네. 308-57397.
SPEAKER_SPEAKER_01 [00:02:03 - 00:02:06]  이거 국민카드 승인권 맞죠?
SPEAKER_SPEAKER_01 [00:02:06 - 00:02:07]  네네. 맞아요.
SPEAKER_SPEAKER_01 [00:02:07 - 00:02:11]  제가 카드사 좀 알아보고 싶어서요. 정상계좌 한번만 알려주세요.
SPEAKER_SPEAKER_01 [00:02:12 - 00:02:13]  정상계좌요?
SPEAKER_SPEAKER_01 [00:02:13 - 00:02:14]  예. 매장 정상계좌.
SPEAKER_SPEAKER_01 [00:02:14 - 00:02:18]  아. 매장 정상계좌요? 기업은행이고요?
SPEAKER_SPEAKER_01 [00:02:18 - 00:02:18]  네.
SPEAKER_SPEAKER_01 [00:02:19 - 00:02:20]  잠깐만요.
SPEAKER_SPEAKER_01 [00:02:28 - 00:02:29]  번호?
SPEAKER_SPEAKER_01 [00:02:29 - 00:02:30]  뒷번호 물어보는 거 아니에요?
SPEAKER_SPEAKER_01 [00:02:30 - 00:02:32]  어. 계좌번호 다 알려드려요?
SPEAKER_SPEAKER_01 [00:02:33 - 00:02:33]  네. 전체 번호로.
SPEAKER_SPEAKER_01 [00:02:34 - 00:02:35]  아. 전체 번호요?
SPEAKER_SPEAKER_01 [00:02:35 - 00:02:35]  네네네.
SPEAKER_SPEAKER_00 [00:02:35 - 00:02:36]  074.
SPEAKER_SPEAKER_01 [00:02:36 - 00:02:37]  074.
SPEAKER_SPEAKER_01 [00:02:37 - 00:02:37]  네.
SPEAKER_SPEAKER_00 [00:02:37 - 00:02:39]  1030.
SPEAKER_SPEAKER_01 [00:02:39 - 00:02:41]  103096.
SPEAKER_SPEAKER_01 [00:02:41 - 00:02:41]  네.
SPEAKER_SPEAKER_00 [00:02:41 - 00:02:42]  01.
SPEAKER_SPEAKER_01 [00:02:42 - 00:02:43]  01.
SPEAKER_SPEAKER_01 [00:02:43 - 00:02:44]  01.
SPEAKER_SPEAKER_01 [00:02:44 - 00:02:45]  01.
SPEAKER_SPEAKER_01 [00:02:45 - 00:02:46]  혹시 이 거래건이요.
SPEAKER_SPEAKER_01 [00:02:47 - 00:02:47]  네네.
SPEAKER_SPEAKER_01 [00:02:47 - 00:02:50]  따로 카드사에서 지급, 정산 받은 건 없으시죠?
SPEAKER_SPEAKER_01 [00:02:51 - 00:02:55]  어. 그거는 사장님이 와보셔야 될 것 같아요. 제가 모르겠어요.
SPEAKER_SPEAKER_01 [00:02:55 - 00:02:57]  알겠습니다. 오전 중으로 한번 더 확인하고 전화드리겠습니다.
SPEAKER_SPEAKER_01 [00:02:57 - 00:02:57]  네네.
SPEAKER_SPEAKER_01 [00:02:57 - 00:02:58]  감사합니다.
