[00:00:00 - 00:00:02]  그렇게 안되는거..
[00:00:02 - 00:00:04]  이거 화자하고 화자 구분이 돼?
[00:00:04 - 00:00:06]  안될걸요?
[00:00:06 - 00:00:08]  화자하고 화자 구분이 되야 되는거 아니야?
[00:00:08 - 00:00:10]  그렇네.. 어떻게 해요 그거는?
[00:00:10 - 00:00:12]  그러게..
[00:00:12 - 00:00:14]  화자하고 화자 구분을 어떻게 하지?
[00:00:14 - 00:00:16]  근데 이게 지금
[00:00:16 - 00:00:18]  제가 했던거랑 좀 달라..
[00:00:18 - 00:00:20]  달라게 떠요 저는 결과가
[00:00:20 - 00:00:22]  어? mp3도 되면은
[00:00:22 - 00:00:24]  노래 가사도 자동으로 번역해줘?
[00:00:24 - 00:00:26]  네
[00:00:26 - 00:00:28]  우와 멋있다
[00:00:28 - 00:00:30]  네
