[00:00:00 - 00:00:01]  네, 아른넷입니다.
[00:00:01 - 00:00:05]  네, 여기 저기 알파 저기 자원대점인데요.
[00:00:05 - 00:00:08]  죄송해요. 안 안 들렸어요. 어느 점이요?
[00:00:08 - 00:00:09]  알파 알파.
[00:00:09 - 00:00:10]  알파 어느 점이에요?
[00:00:10 - 00:00:11]  자원대점.
[00:00:11 - 00:00:12]  네.
[00:00:12 - 00:00:22]  아니 이거 저기 왜 저 키보드 자꾸만 저기 저기 누르면은 어저께 내가 전화했었는데 이게 뭐 자꾸만 유효하지 않는 설치 코드라고 자꾸 웃기고요.
[00:00:22 - 00:00:25]  키보드를 누른다는 게요.
[00:00:25 - 00:00:28]  로그인 패스워드 패스워드.
[00:00:28 - 00:00:31]  비밀번호 입력할 때 메시지가 뜨는 거예요?
[00:00:31 - 00:00:34]  네, 비밀번호 패스워드 패스워드가 0 4개인데.
[00:00:34 - 00:00:40]  1 2 3 4 15 로그인하면은 유효하지 않는 설치 코드라고 자꾸 안 뜨는데 이거 왜 그런 들어가지는 못하는데.
[00:00:40 - 00:00:43]  그 그 상태에서요.
[00:00:43 - 00:00:50]  그 로그인 정보 입력하시는 화면 오른쪽에 보시면은 초기 설정 초기 뭐 하는 있어요. 초기 인증.
[00:00:50 - 00:00:53]  거기를 들어가서 진행 따로 한 건 없으시죠?
[00:00:53 - 00:00:54]  없죠. 네.
[00:00:54 - 00:00:58]  여기 뭐 사업장 아이디 설치 코드 설치 암호 이렇게 써 있는데 좀 안 창의.
[00:00:58 - 00:01:01]  그 사업장 아이디는 똑같은 정보 넣으시면 되고요.
[00:01:01 - 00:01:04]  그러면 설치 코드하고 똑같은 건 똑같은 거잖아요?
[00:01:04 - 00:01:07]  아니에요. 설치 코드는 혹시 화면에 입력이 돼 있나요?
[00:01:07 - 00:01:09]  네, 거기 입력돼 있는데. 숫자로.
[00:01:09 - 00:01:13]  저 그 사업장 아이디 한 번만 좀 천천히 말씀 좀 해주세요.
[00:01:13 - 00:01:15]  네, 잠깐만요.
[00:01:15 - 00:01:16]  네.
[00:01:16 - 00:01:17]  잠깐만요.
[00:01:28 - 00:01:57]  swing 스펝�이트
[00:01:57 - 00:01:59]  설정할 아이디가 N.
[00:01:59 - 00:02:00]  N.
[00:02:00 - 00:02:01]  NN.
[00:02:01 - 00:02:03]  네. 이 말 때 N. 네.
[00:02:03 - 00:02:05]  NN. 2332.
[00:02:05 - 00:02:06]  2332.
[00:02:06 - 00:02:08]  AL.
[00:02:08 - 00:02:09]  A.
[00:02:09 - 00:02:11]  PHA.
[00:02:11 - 00:02:11]  네.
[00:02:11 - 00:02:13]  3609.
[00:02:13 - 00:02:23]  잠시만요.
[00:02:23 - 00:02:30]  지금 그 초기 설정 화면창에요. 설치 코드 입력돼 있는 번호 한 번만 좀 확인 좀 해주세요.
[00:02:30 - 00:02:32]  2000.
[00:02:32 - 00:02:32]  네.
[00:02:32 - 00:02:33]  298.
[00:02:33 - 00:02:34]  네.
[00:02:34 - 00:02:35]  262.
[00:02:35 - 00:02:37]  262.
[00:02:37 - 00:02:39]  음.
[00:02:39 - 00:02:41]  262 3020.
[00:02:41 - 00:02:43]  그 뒤에 비밀번호는요.
[00:02:43 - 00:02:44]  네.
[00:02:44 - 00:02:47]  예. 4자리 2431 한번 넣어보시겠어요?
[00:02:47 - 00:02:48]  서 자모요?
[00:02:48 - 00:02:50]  2431.
[00:02:50 - 00:02:51]  서 자모에다가?
[00:02:51 - 00:02:53]  네. 맞습니다.
[00:02:53 - 00:02:54]  24.
[00:02:54 - 00:02:56]  2431.
[00:02:56 - 00:02:57]  3 1. 인증.
[00:02:57 - 00:02:58]  네.
[00:02:58 - 00:03:00]  인증이 2431.
[00:03:00 - 00:03:04]  아. 됐네. 그러면 저거 항상 243 하나 넣어야 되는 거예요?
[00:03:04 - 00:03:10]  지금 말씀하신 그 설치 코드 값에 맞는 번호가 그거인 거고요. 다른 자리는 또 틀려요.
[00:03:10 - 00:03:14]  아. 내 자리는 243 하나로 넣으면 된다?
[00:03:14 - 00:03:20]  네. 지금 말씀하신 그 설치 코드 값이랑 맞는 비밀번호가 그거인 거예요.
[00:03:20 - 00:03:21]  알았습니다.
[00:03:21 - 00:03:23]  알겠습니다. 고맙습니다.
[00:03:23 - 00:03:24]  네.
[00:03:24 - 00:03:25]  네.
