SPEAKER_SPEAKER_00 [00:00:00 - 00:00:01]  여보세요?
SPEAKER_SPEAKER_01 [00:00:01 - 00:00:02]  네.
SPEAKER_SPEAKER_00 [00:00:02 - 00:00:07]  안녕하세요. 혹시 지금 메인 키오스크에서 나오는 증상이에요? 어디에서 나오는 거예요?
SPEAKER_SPEAKER_01 [00:00:07 - 00:00:08]  아니요. 간식 키오스크.
SPEAKER_SPEAKER_01 [00:00:08 - 00:00:11]  간식 키오스크요? 카드를 꽂으면 나오는 거예요?
SPEAKER_SPEAKER_01 [00:00:11 - 00:00:17]  네. 카드를 꽂으면 조회불가 카드라고 나와요. 그 에라 코드 그거 말씀드린 걸로.
SPEAKER_SPEAKER_00 [00:00:17 - 00:00:19]  모든 카드가 다 그래요?
SPEAKER_SPEAKER_01 [00:00:19 - 00:00:21]  네. 전부 다.
SPEAKER_SPEAKER_00 [00:00:21 - 00:00:22]  메인은 돼요?
SPEAKER_SPEAKER_01 [00:00:22 - 00:00:24]  메인은 돼요.
SPEAKER_SPEAKER_00 [00:00:24 - 00:00:26]  잠시만 지금 혹시 매장에 계세요?
SPEAKER_SPEAKER_01 [00:00:26 - 00:00:27]  네.
SPEAKER_SPEAKER_00 [00:00:27 - 00:00:31]  저 간식 키오스크 원격 연결했는데요.
SPEAKER_SPEAKER_00 [00:00:31 - 00:00:33]  이거 한 번만 카드 꽂아봐 주시겠어요?
SPEAKER_SPEAKER_01 [00:00:33 - 00:00:35]  잠시만요.
SPEAKER_SPEAKER_01 [00:00:35 - 00:00:37]  뭐 상품 찍고요?
SPEAKER_SPEAKER_01 [00:00:37 - 00:00:39]  상품은 제가 그냥 아무거나 찍어놨어요.
SPEAKER_SPEAKER_01 [00:00:39 - 00:00:40]  그래요?
SPEAKER_SPEAKER_01 [00:00:40 - 00:00:41]  카드 꽂아봐 주시면 돼요.
SPEAKER_SPEAKER_01 [00:00:41 - 00:00:42]  화면에 안 나오는데요?
SPEAKER_SPEAKER_00 [00:00:42 - 00:00:45]  뭐가 안 나와요? 간식 키오스크.
SPEAKER_SPEAKER_01 [00:00:45 - 00:00:45]  네.
SPEAKER_SPEAKER_00 [00:00:45 - 00:00:47]  선능력 아니에요?
SPEAKER_SPEAKER_01 [00:00:47 - 00:00:48]  네. 선능력 좀.
SPEAKER_SPEAKER_00 [00:00:48 - 00:00:51]  선능력 저 지금 들어와 있는데.
SPEAKER_SPEAKER_01 [00:00:51 - 00:00:53]  방구해놓자.
SPEAKER_SPEAKER_00 [00:00:53 - 00:00:55]  네.
SPEAKER_SPEAKER_01 [00:00:55 - 00:00:57]  뭐지?
SPEAKER_SPEAKER_01 [00:00:57 - 00:00:59]  지금 찍으시는 거죠? 1500원.
SPEAKER_SPEAKER_01 [00:00:59 - 00:01:00]  아니요.
SPEAKER_SPEAKER_00 [00:01:00 - 00:01:02]  아니에요?
SPEAKER_SPEAKER_00 [00:01:02 - 00:01:04]  잠깐만 선능력이 아니에요 그러면?
SPEAKER_SPEAKER_01 [00:01:04 - 00:01:07]  여기 선능력 1호점.
SPEAKER_SPEAKER_00 [00:01:07 - 00:01:09]  잠시만요. 나 어디로 갔냐?
SPEAKER_SPEAKER_00 [00:01:09 - 00:01:15]  선능력 좀 맞는데.
SPEAKER_SPEAKER_00 [00:01:15 - 00:01:18]  아무 변화 없는데요. 화면 변화가.
SPEAKER_SPEAKER_00 [00:01:18 - 00:01:22]  선능력 좀 잠깐만요. 다시.
SPEAKER_SPEAKER_00 [00:01:22 - 00:01:24]  선능력 점.
SPEAKER_SPEAKER_00 [00:01:24 - 00:01:25]  선능력 점.
SPEAKER_SPEAKER_00 [00:01:25 - 00:01:26]  선능력 점.
SPEAKER_SPEAKER_00 [00:01:26 - 00:01:27]  선능력 점.
SPEAKER_SPEAKER_01 [00:01:27 - 00:01:34]  네.
SPEAKER_SPEAKER_00 [00:01:34 - 00:01:39]  메인 키오스크.
SPEAKER_SPEAKER_00 [00:01:39 - 00:01:42]  지금 메인 키오스크에서 누가 7번 선택하셨나요?
SPEAKER_SPEAKER_01 [00:01:42 - 00:01:42]  네. 맞아요.
SPEAKER_SPEAKER_01 [00:01:42 - 00:01:43]  맞죠?
SPEAKER_SPEAKER_01 [00:01:43 - 00:01:45]  네.
SPEAKER_SPEAKER_00 [00:01:45 - 00:01:48]  이거 가시고 나면 제가 잠깐만 볼게요.
SPEAKER_SPEAKER_01 [00:01:48 - 00:01:49]  메인은 잘 되고요.
SPEAKER_SPEAKER_00 [00:01:49 - 00:01:51]  네. 간식이 안 된다고 그러셨죠?
SPEAKER_SPEAKER_00 [00:01:51 - 00:01:52]  네. 간식 concurrent.
SPEAKER_SPEAKER_01 [00:01:52 - 00:01:55]  잠깐만요. 그럼 간식으로 다시.
SPEAKER_SPEAKER_00 [00:01:55 - 00:01:55]  얘를.
SPEAKER_SPEAKER_00 [00:01:55 - 00:01:55]  얘를.
SPEAKER_SPEAKER_00 [00:01:55 - 00:01:56]  얘를.
SPEAKER_SPEAKER_00 [00:01:56 - 00:01:57]  얘를.
SPEAKER_SPEAKER_00 [00:01:57 - 00:01:58]  끄고.
SPEAKER_SPEAKER_00 [00:01:58 - 00:02:08]  간식 키오스크. 선능력 점 간식 키오스크 어디 갔냐?
SPEAKER_SPEAKER_00 [00:02:08 - 00:02:11]  여기.
SPEAKER_SPEAKER_00 [00:02:11 - 00:02:18]  네. 간식 키오스크. 이거 맞죠? 아이고.
SPEAKER_SPEAKER_00 [00:02:18 - 00:02:19]  일단.
SPEAKER_SPEAKER_01 [00:02:19 - 00:02:20]  이거 맞죠?
SPEAKER_SPEAKER_00 [00:02:20 - 00:02:21]  네. 맞아요.
SPEAKER_SPEAKER_01 [00:02:21 - 00:02:21]  이거 맞죠?
SPEAKER_SPEAKER_00 [00:02:21 - 00:02:22]  네.
SPEAKER_SPEAKER_00 [00:02:22 - 00:02:25]  그러면.
SPEAKER_SPEAKER_00 [00:02:25 - 00:02:26] .
